file,code_min,code_max,LSB_endpoint[A],gain_error[%],offset_error[LSB],DNL_min[LSB],DNL_max[LSB],Max|DNL|[LSB],INLbf_min[LSB],INLbf_max[LSB],Max|INLbf|[LSB],nonmonotonic_steps,missing_codes
DACOutput_1.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_10.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_2.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_3.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_4.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_5.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_6.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_7.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_8.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
DACOutput_9.txt,0,127,7.874015678980407e-06,-29.899575904667376,18.986230827874916,-51.39256767791703,6.673248754290472,51.39256767791703,-36.44312618560858,36.44312604217534,36.44312618560858,31,31
